id	text	labels
1005:3	Guvecte yogurt ve salatayla iyi bir uclu oldu.	[('food quality', 'positive', 'Guvecte yogurt ve salatayla')]
1005:4	Servisi hizli valesi var.	[('service general', 'positive', 'Servisi')]
1005:5	Acik mekanda ise gardenya bolumu guzel.	[('ambience general', 'positive', 'gardenya bolumu')]
1005:6	Kalabalik icin ideal.	[('restaurant general', 'positive', 'NULL')]
1006:1	Bugun çalışan arkadasin yonlendirmesiyle siyah caylardan bourbon vanilla ictik.	[('food quality', 'neutral', 'bourbon vanilla')]
1006:2	Vanilya tadi gerçekten baya hissediliyodu ama ben beyaz caylarini daha cok begenmistim.	[('drinks quality', 'positive', 'beyaz caylarini')]
1006:3	Ortam güzel,özellikle rahat oturma köşeleri👌 Esas kahve sever biri oldugum icin cok tercih ettigim mekan değil ama yine de arada degisiklik icin guzel olabilir.	[('ambience general', 'positive', 'Ortam'), ('ambience general', 'positive', 'oturma köşeleri')]
1007:0	Yoğun olduğu günlerde(cumartes-pazar) gitmenizi tavsiye etmem.	[('restaurant general', 'negative', 'gitmenizi')]
1007:2	Şubelerden en iyisi Pendik merkez ana şubesi iyidir.	[('restaurant general', 'positive', 'Pendik merkez ana şubesi')]
1008:0	Bugüne kadar dışarıda yediğim en lezzetli kurufasülyeci.	[('food quality', 'positive', 'kurufasülyeci')]
1008:2	Fasulyesi ağızda dağılıyor adeta, lokum gibi.	[('food quality', 'positive', 'Fasulyesi')]
1008:3	Duyduğum kadarıyla suda değil sütte bekletiyorlarmış.	[('food style_options', 'neutral', 'bekletiyorlarmış')]
1008:4	Yanında turşu, cacık veya yoğurtla harika oluyor.	[('food style_options', 'positive', 'turşu, cacık veya yoğurtla')]
1008:5	Pilavı da çok lezzetli, mis gibi tereyağ kokuyor.	[('food quality', 'positive', 'Pilavı'), ('food quality', 'positive', 'kokuyor')]
1008:6	Finali sütlaçla yapmanızı tavsiye ediyorum.	[('food quality', 'positive', 'sütlaçla')]
1008:7	Sütlacı da enfes.	[('food quality', 'positive', 'Sütlacı')]
1009:0	Hard Rock Cafe'de hiç sıra beklemeden oturmaya alışık değiliz ki biz, Avrupa veya Amerika'dakilerle aynı duyguyu vermiyor bu sebeple ama lezzet tabii yine aynı.	[('food quality', 'positive', 'lezzet'), ('service general', 'neutral', 'sıra')]
1009:1	Atıştırmalık Jumbo Combo pek yummy!	[('food quality', 'positive', 'Atıştırmalık Jumbo Combo')]
1010:0	Deniz ürünleri çok başarılı.	[('food quality', 'positive', 'Deniz ürünleri')]
1010:1	Manzarası zaten mükemmel.	[('ambience general', 'positive', 'Manzarası')]
1010:2	Bütün istanbul'un güzelliğini, yoğunluğunu hissediyorsun.	[('ambience general', 'positive', 'hissediyorsun')]
1010:3	Onun dışında pek öğrenci mekanı değil.	[('ambience general', 'neutral', 'öğrenci mekanı')]
1010:4	Özel günlerde gidilecek, küçük kutlamalar yapılacak bir yer	[('ambience general', 'neutral', 'yer')]
1011:0	Rahatça sohbet edebilmek istiyorsanız, orta mükemmel.	[('ambience general', 'positive', 'sohbet edebilmek')]
1011:1	Çalan müzik tam kıvamında, rahatsız etmiyor.	[('ambience general', 'positive', 'Çalan müzik')]
1011:2	Yemekleri çok lezzetli, manzara mükemmel.	[('ambience general', 'positive', 'manzara'), ('food quality', 'positive', 'Yemekleri')]
1011:3	ancak hesap biraz abartılı geliyor, balık yemeden kişi başı 100 liradan fazla ödedik, itiraz etmek gerekir.	[('food prices', 'negative', 'hesap')]
1012:0	Kalabalik zamanlarda servis fazlasiyla aksiyor.	[('service general', 'negative', 'servis')]
1012:1	Bosken soylemis oldugum makarna ne kadar hizli geldiyse, mekanin dolmasiyla arkadasimin soylemis oldugu siparis unutuldu, defalarca hatirlatma yapmamiz gerekti.	[('service general', 'negative', 'siparis')]
1012:2	Ayrica masalarin fazla ic ice olmasi zaman zaman rahatsiz olmaniza neden olabiliyor	[('ambience general', 'negative', 'masalarin')]
1013:0	Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz.	[('ambience general', 'positive', 'ortamında'), ('food quality', 'positive', 'yemekler'), ('food quality', 'positive', 'çilekli magnoliasından')]
1013:1	İçinizi serinletecek enfes bir tat.	[('food quality', 'positive', 'tat')]
1014:0	Garsonlar suratsiz.	[('service general', 'negative', 'Garsonlar')]
1014:1	Bu kadar methedilmeyi hakketmiyor.	[('restaurant general', 'negative', 'NULL')]
1014:2	Kasarli köftenin içinde kasar olmayan ve köfte ustasi geçinen bir yer!	[('food style_options', 'negative', 'Kasarli köftenin'), ('restaurant general', 'negative', 'yer')]
1014:5	Isletme sahibi kaba.	[('service general', 'negative', 'Isletme sahibi')]
1014:6	Bizim kasarli köfte tanimimiz böyle diyor sadece!	[('food style_options', 'negative', 'kasarli köfte')]
1014:7	Müsteri memnuniyeti sifir!	[('restaurant general', 'negative', 'Müsteri memnuniyeti')]
1015:0	Yılların Sampi'si, canım pide istediğimde eve sipariş için tercih ettiğim yerlerdendir.	[('food quality', 'positive', 'pide')]
1015:1	O zaman keşke başlangıçlarda menüde yer almasa!	[('food style_options', 'negative', 'menüde')]
1015:2	Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul.	[('restaurant general', 'positive', 'fiyatları'), ('location general', 'positive', 'ulaşımı')]
1015:4	Ben çıtır pide sevenlerdenim, dolayısıyla siparişi verirken özellikle rica ettim ve gerçekten de çitir çitir pide geldi.	[('food style_options', 'positive', 'pide')]
1015:5	Ancak maalesef birlikte gittiğim arkadaşlarım hiç sevmezmiş çıtır pideyi ve tabii ki onların ki de çıtır geldi.	[('food style_options', 'negative', 'pideyi')]
1015:8	Neyse tadı paket servisten elbette çok daha iyidi neticede beklemeden yeme imkanınız var.	[('food quality', 'positive', 'tadı')]
1015:9	Malzemesi bol, porsiyonu tam kıvamındaydı.	[('food style_options', 'positive', 'Malzemesi'), ('food style_options', 'positive', 'porsiyonu')]
1016:0	Beşiktaş'ın göbeğinde.	"[('location general', 'positive', ""Beşiktaş'ın göbeğinde"")]"
1016:2	Ve deneyim maalesef çok da olumlu olmadı.	[('restaurant general', 'negative', 'deneyim')]
1016:3	Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi.	[('food quality', 'positive', 'Pide lezzeti'), ('service general', 'negative', 'siparişleri')]
1016:4	Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi.	[('food quality', 'positive', 'ortası'), ('food style_options', 'negative', 'kenarlarını')]
1016:5	Başlangıç için menüde başlangıçlarda yer alan lahmacunun, ana yiyecek pideden daha geç gelecek olması ise ayrı bi durumdu tabii.	[('service general', 'negative', 'gelecek')]
1016:6	Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.	[('food quality', 'negative', 'Yemek'), ('restaurant prices', 'positive', 'bütçeyi')]
1017:4	4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.	[('food quality', 'positive', 'kahvalti'), ('food prices', 'negative', 'fiyat'), ('service general', 'negative', 'servis')]
1018:0	Mutlaka bir hafta önceden rezarvasyon yaptırın iyi bir rum meyhanesi yemekleri başarılı olduğu gibi şahane bir manzarası var bu mekanın en büyük olayı sürekli ikram yapmalarıdır pahalı olmasına rağmen hak ediyor.	[('food quality', 'positive', 'yemekleri'), ('food style_options', 'positive', 'ikram'), ('ambience general', 'positive', 'manzarası')]
1018:1	Mutlaka ızgara mantar ve istakoz kavurma deneyin gittiğim ve hiçbir zaman pişman olmadığım ender yerlerden biridir	[('restaurant general', 'positive', 'yerlerden'), ('food quality', 'positive', 'istakoz kavurma'), ('food quality', 'positive', 'ızgara mantar')]
1019:0	Baliklarin yanina Rum ve ermeni mutfagindan mezelerde pek bir yakisiyor.	[('food quality', 'positive', 'mezelerde')]
1019:1	kuskonmaz somon sarma,kagitta balik pastirma kesinlikle denenmeli.	[('food quality', 'positive', 'kagitta balik pastirma'), ('food quality', 'positive', 'kuskonmaz somon sarma')]
1020:0	Burada caylar harika!	[('drinks quality', 'positive', 'caylar')]
1020:2	Vanilla ve portakal aromasina doyamayacaginiz harika bir lezzet olmus.	[('food quality', 'positive', 'lezzet')]
1020:3	Ortam muhabbet edebilmek icin gayet guzel fakat manzara beklentiniz var ise baska yeri tercih etmelisiniz.	[('ambience general', 'negative', 'manzara'), ('ambience general', 'positive', 'Ortam')]
1020:4	Tam tamina 60 farkli cesit cay bulabileceginiz bu mekani ziyaret etmelisiniz!	[('drinks style_options', 'positive', 'cay')]
1021:0	Hoş bi mekan, severek giderim ve ayrılırken de memnuniyetle ayrılırım her zaman.	[('restaurant general', 'positive', 'mekan')]
1021:1	Özellikle akşamları gidilmesini tavsiye ederim, köprünün ve hisarın ışıkları yandığında ayrı bi zevki var.	[('ambience general', 'positive', 'köprünün ve hisarın ışıkları')]
1021:2	Hemde canlı müzikle :	[('ambience general', 'positive', 'canlı müzikle')]
1022:0	Daha iyisi var.	[('restaurant general', 'negative', 'NULL')]
1022:1	Buranin doneri dedikleri kadar efsane degil.	[('food quality', 'negative', 'doneri')]
1022:2	Eti yagli , kokuyor, ince dilinmis ve en kotusu aradan 3 saat gecmesine ragmen migdem bulaniyor.	[('food quality', 'negative', 'Eti'), ('food style_options', 'negative', 'Eti')]
1022:3	Ortami da begenmedim kalabalik 3. Sinif bir yer.	[('ambience general', 'negative', 'Ortami')]
1022:4	Bir daha gitmem	[('restaurant general', 'negative', 'NULL')]
1023:0	Eti lezzetli, mekan gösterişli.	[('ambience general', 'positive', 'mekan'), ('food quality', 'positive', 'Eti')]
1023:1	Ama sunum resmen sıfır.	[('service general', 'negative', 'sunum')]
1023:2	30 tl aldığınız hamburger için düz beyaz tabağa koymaktan öteye gidebilirsiniz bence?	[('food style_options', 'negative', 'tabağa')]
1023:3	Havuç dilimi ise aşırı yağlı ve şerbetli.	[('food quality', 'negative', 'Havuç dilimi')]
1023:4	Pek yaratıcı özel bir yanı yok.	[('restaurant general', 'negative', 'NULL')]
1024:0	Pazar günü 14.30'a kadar kahvaltı dışı servis yapmayan Big Chefs!	[('service general', 'negative', 'servis')]
1024:1	Kahvaltı sonrası kahve içmeye gittik, kapıdan döndük ve saat 13.30'du, şaka sandım bir an...	[('service general', 'negative', 'NULL')]
1024:2	Olmadı Big Chefs, zincirsin sen...	[('restaurant general', 'negative', 'Big Chefs')]
1025:2	Menude yazilmis olmasina ragmen tavuk WRAPimiz patates ile gelmedi nedenini sordugumuz da patatesi kaldirdiklarini menulerini henuz degistirmediklerini soylediler.	[('food style_options', 'negative', 'tavuk WRAPimiz')]
1025:3	Gelen tavuk Wrapten 5 dakika sonra biz kofte durum istememize ragmen tavuk sis dürümu geldi durumu soyledik ve degistirdiler.	[('service general', 'negative', 'kofte durum')]
1025:4	Tavuklar kupkuruydu, kofte durum ise siradandi.	[('food quality', 'neutral', 'kofte durum'), ('food quality', 'negative', 'Tavuklar')]
1025:5	Ikisininde yanindaki yesillikler sus icin konulmus olup yemeye kalktigimizda aci bi tatla karsilastik.	[('food quality', 'negative', 'tatla')]
1025:6	Zeytinyagli tabagi soyledik icinde fasulye, barbunya, biber dolmasi, sarma ve saksuka vardi.	[('food style_options', 'neutral', 'Zeytinyagli tabagi')]
1025:7	Tadlari yerindeydi fakat az koymak icin bayagi bi zorlamislar kendilerini.	[('food style_options', 'negative', 'koymak'), ('food quality', 'positive', 'Tadlari')]
1025:8	Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.	[('service general', 'negative', 'servis'), ('restaurant prices', 'neutral', 'Fiyatlar'), ('ambience general', 'negative', 'tuvaletler')]
1026:0	güzel olan tek sey manzaraydi, evet çocuk oyun alani var bakimsiz servis elemanlari suratsiz, hele omlet yapan bir bayan var ki benim oturdugum masa dibindeydi gelen herkese bir surat bir tavir ben böyle birsey görmedim .	[('service general', 'negative', 'servis elemanlari'), ('service general', 'negative', 'bayan'), ('ambience general', 'positive', 'manzaraydi')]
1026:1	açik büfe kahvaltisi evet çesit çoktu ancak sunum beni tatmin etmedi, temizlik hijyen hissi uyandirmadi.	[('food style_options', 'positive', 'çesit'), ('food style_options', 'negative', 'sunum')]
1027:0	Hos mekan - Mekan yaklasik 3-4 aydir var Tuzla'da.	[('restaurant general', 'positive', 'mekan')]
1027:1	Gidilebilecek iyi yerlerden birisi.	[('restaurant general', 'positive', 'yerlerden')]
1027:2	Ilk açildigi ay gittigimizde çok memnun kalmistik ama daha sonraki gidislerimizde servisin çok fazla aksadigina ve garsonlarin yogunluk nedeni ile herkes ile ilgilenememesini gözlemledik.	[('service general', 'negative', 'garsonlarin'), ('service general', 'negative', 'servisin')]
1027:3	Çok az sayida garson çalisiyor ve bazen mekan dolu olunca yetemiyorlar.	[('service general', 'negative', 'garson')]
1027:5	Klasik dondurma spesiyalleri ve tatlililari var.	[('food style_options', 'neutral', 'dondurma spesiyalleri ve tatlililari')]
1028:0	Internetten arastirip gittigim bir yerdi, ancak maalesef beklentilerimi çok karsilamadi.	[('restaurant general', 'negative', 'yerdi')]
1028:1	Garsonlar istediginiz seyi en az iki kere istemeden maalesef getirmiyorlar.	[('service general', 'negative', 'Garsonlar')]
1028:2	Internetteki resimlerinden göründügü kadar güzel degildi.	[('ambience general', 'negative', 'göründügü')]
1029:1	Su böregi oldukça lezzetli idi.	[('food quality', 'positive', 'Su böregi')]
1029:2	Çay kötü müydü?	[('drinks quality', 'neutral', 'Çay')]
1029:3	Hayir, çok taze ve lezzetliydi.	[('food quality', 'positive', 'NULL')]
1029:4	Beklentimin üstündeydi.	[('restaurant general', 'positive', 'NULL')]
1030:0	Her yönüyle ideal - Bizim okula çok yakin oldugu için çok sik gittigimiz bir yerdir ve muhtesemdir zaten manzarasi.	[('restaurant general', 'positive', 'NULL'), ('ambience general', 'positive', 'manzarasi')]
1030:3	Yazin daha zevkli oluyor manzaraya karsi oturmasi.	[('ambience general', 'positive', 'manzaraya')]
1030:4	Marmara ögrencilerine de indirimli fiyat uygulamasi var.	[('restaurant prices', 'positive', 'fiyat')]
1030:5	O yüzden de bizim için avantajli oluyor.	[('restaurant prices', 'positive', 'NULL')]
1030:6	Gözleme yapan teyzeler de var bu yil, kumpir servisine de basladilar.	[('food style_options', 'positive', 'Gözleme')]
1030:7	Kuaförü de çok ucuz ve iyi ayrica.	[('restaurant miscellaneous', 'positive', 'Kuaförü')]
1030:8	Daha ne olsun =)	[('restaurant general', 'positive', 'NULL')]
1031:0	Güzel manzara ancak fiyat performans olarak mutfak yeterli değil.	[('ambience general', 'positive', 'manzara'), ('food quality', 'negative', 'mutfak')]
1031:1	Bu kadar ünlü olmasını reklama bağlıyorum çünkü çok daha iyi deniz ürünlerini daha uygun fiyatlarla yiyebileceğiniz bir sürü yer var İstanbul'da.	[('food prices', 'negative', 'fiyatlarla'), ('food quality', 'negative', 'deniz ürünlerini')]
1031:2	Paranız çoksa deneyin ama şart da değil:	[('restaurant general', 'neutral', 'NULL')]
1032:0	Döner güzel ok ama giderek daha kalabalik hale hatta sisen restoranda omuz omuza kolunuzu kipirdatamadan feci bir gürültü içinde yemek yemek zorunda kaliyorsunuz.	[('ambience general', 'negative', 'restoranda'), ('food quality', 'positive', 'Döner')]
1033:0	Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.	[('location general', 'negative', 'Yeri'), ('food style_options', 'positive', 'yemekleri'), ('food quality', 'positive', 'yemekleri'), ('ambience general', 'positive', 'dösenmis'), ('ambience general', 'positive', 'ortam')]
1033:1	Sira bekleme olayi ise çok kötü...	[('service general', 'negative', 'Sira')]
1034:0	Aci sevmeyenlere uygun bir mekan degil.	[('restaurant general', 'neutral', 'mekan')]
1034:1	Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.	[('ambience general', 'positive', 'ortam'), ('food quality', 'negative', 'fajita'), ('food quality', 'negative', 'karisik köfte tabagi'), ('ambience general', 'positive', 'Manzara')]
1035:0	Sadece meze yiyin.	[('food quality', 'negative', 'yiyin'), ('food quality', 'positive', 'meze')]
1035:1	Her hafta gelmeye çalışıyoruz.	[('restaurant general', 'positive', 'NULL')]
1035:2	Bütün balıkları değişik soslarla pişirip getiriyorlar, siz dur diyene kadar da mezeler gelmeye devam ediyor.	[('food style_options', 'positive', 'soslarla')]
1035:4	Balığın fast food gibi yenildiği yer.	[('food style_options', 'neutral', 'Balığın')]
1035:5	Yavaş yavaş balık keyfi yapmak isterseniz önermem.	[('food style_options', 'negative', 'balık')]
1035:6	Servisi çok hızlı.	[('service general', 'positive', 'hızlı')]
1035:7	Mısır ekmeği de sıcacık bayılıyorum.	[('food quality', 'positive', 'Mısır ekmeği')]
1036:0	60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :	[('ambience general', 'positive', 'müzikler'), ('ambience general', 'positive', 'ortam'), ('food quality', 'negative', 'Mizuno Pudding'), ('drinks style_options', 'positive', 'çeşit'), ('drinks prices', 'negative', 'hesap')]
1036:2	Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.	"[('restaurant general', 'positive', 'NULL'), ('drinks prices', 'negative', 'paraya'), ('food quality', 'negative', ""Mizuno Pudding'i"")]"
1037:1	Neden şimdiye kadar gelmemişim dedim.	[('restaurant general', 'positive', 'NULL')]
1037:2	Servisten de oldukça memnun kaldık.	[('service general', 'positive', 'Servisten')]
1037:3	Biz erken saatte gittik ama akşamları romantik bir yemek için oldukça ideal bir mekan...	[('ambience general', 'positive', 'mekan')]
1038:0	Hangi gün hangi saat gidilse kalabalıktan kurtulmak mümkün değil.	[('ambience general', 'negative', 'kalabalıktan')]
1038:1	Çoluğu çocuğu toplayan ev hanımları grupları mekana olan ilgiyi azaltıyor.	[('ambience general', 'negative', 'ev hanımları')]
1038:2	Garsonlar iyi.	[('service general', 'positive', 'Garsonlar')]
1039:0	Ansiklopedi kalinliginda menuyu getirip siparisinizi vermek istediginizde o yok, bu uok,su kalmadi seklinde ifadelerle birturlu istediginiz tatliyi yiyemediginiz mekan isletmecisine konuyu ilettiginizde yapacak birseyleri olmadigini buyuk rahatlikla dile getiren , garsonlarinin sattiklari urunden haberdar olmayip isteklerinizi yerine gec veya yanlis getirmeleride cabasi.	[('service general', 'negative', 'getirmeleride'), ('service general', 'negative', 'garsonlarinin'), ('food style_options', 'negative', 'NULL')]
1039:1	Kesinlikle tavsiye etmiyorum.	[('restaurant general', 'negative', 'NULL')]
1040:0	Diğer şubesinin efsaneleşen hikayelerinin ardından defalarca hep belirli sebeplerle geldiğimiz Eleos bence cidden abartılıyor.	[('restaurant general', 'negative', 'Eleos')]
1040:1	Yeşilköy şubesini bilemem ama burası standart üzerinde yine de o fiyatlar bence çok saçma.	[('restaurant prices', 'negative', 'fiyatlar')]
1040:2	Ayrıca fix menü zorlaması gibi en sinir bozucu uygulamayı burada normalleştirmiş durumdalar.	[('food style_options', 'negative', 'fix menü')]
1040:3	Mezeler de vasatın üzerinde.	[('food quality', 'neutral', 'Mezeler')]
1040:4	Balkon/teras bölümü de cidden çok küçük.	[('ambience general', 'negative', 'Balkon/teras bölümü')]
1041:0	Her zaman gittigim ve servisi her zaman igrenc olan bu mekan artiik iyice rezalet sinirlarini zorlamis.	[('service general', 'negative', 'servisi'), ('restaurant general', 'negative', 'mekan')]
1041:1	Mekanin isletmecisi beyin tavri tarzi konusmasi uslubu ve terbiyesi yerlerde.	[('service general', 'negative', 'Mekanin isletmecisi beyin'), ('service general', 'negative', 'tavri tarzi konusmasi uslubu')]
1041:2	Mekanin populerligi yuzunden rahatlar sanirim ama bu rahatlikla populerligi kisa surede kaybederler.	[('restaurant general', 'negative', 'Mekanin')]
1041:3	Istanbulda tek manzara goren yer olmamakla beraber yemekleride son derece lezzetsiz.	[('ambience general', 'neutral', 'manzara'), ('food quality', 'negative', 'yemekleride')]
1041:4	Zaten bu saatten sonra sultan sofrasida kursa o isletmeciyle bu mekana bir daha adimimi atmam.	[('service general', 'negative', 'isletmeciyle')]
1042:0	Yemekler super lezzetli, ogle yemeginde cok kalabalik ama saat 2 sonrasinda rahat.	[('food quality', 'positive', 'Yemekler'), ('ambience general', 'negative', 'ogle yemeginde')]
1042:1	Bir tabaga 5 farkli cesit isteyebilirsiniz, ozellikle bugday salatasi ve havuc salatasi muhtesem mutlaka deneyin	[('food quality', 'positive', 'havuc salatasi'), ('food quality', 'positive', 'bugday salatasi')]
1043:0	Istanbulda baklavanın adresi.	[('food quality', 'positive', 'baklavanın')]
1043:1	Karaköyden, Eminönünden geçerken uğramalısınız.	[('restaurant general', 'positive', 'NULL')]
1043:2	Sadece baklava değil karışık tabak yaptırın.	[('food quality', 'positive', 'karışık tabak')]
1043:3	Çikolatalı baklavayıda özellikle bayanlara tavsiye ederim	[('food quality', 'positive', 'Çikolatalı baklavayıda')]
1044:0	yurtdisindan gelen misafirlerimi memnun etmesiyle,manzarasiyla ve tabii ki meze ve yemekleriyle begenimi kazanmis oldu gelinir tadilir calan muzikler guzel ayari sohbetle hos bir fon oluyor.	[('ambience general', 'positive', 'manzarasiyla'), ('food quality', 'positive', 'meze ve yemekleriyle'), ('ambience general', 'positive', 'muzikler')]
1045:0	Burayi seviyorum gerçekten.	[('restaurant general', 'positive', 'Burayi')]
1045:2	Hersey lezzetli statüsüne çok yakin.	[('food quality', 'positive', 'Hersey')]
1045:3	Keyifli vakit geçirirsiniz emin olun.	[('restaurant general', 'positive', 'vakit geçirirsiniz')]
1046:0	Bira dışında başka bir şey içmenizi istemeyen mekan, bira 7,8 lira iken votka 25, şarap 17.5...	[('drinks prices', 'negative', 'votka'), ('drinks prices', 'negative', 'şarap')]
1046:1	Onun dışında, belirli bir saatten sonra müzik sağır edici seviyeye ulaşmakta.	[('ambience general', 'negative', 'müzik')]
1047:0	Balıklarından daha çok kendine has mezeleriyle ön plana çıkmış Alkolsüz bir Balıkçı .	[('food style_options', 'positive', 'mezeleriyle')]
1047:1	mezeleri gerçekten standartların üzerinde mekan neredeyse her gün akşam saatlerinde yoğun oluyor .	[('food quality', 'positive', 'mezeleri')]
1047:2	bunun haricinde çalışanların ilgiside gayet iyi	[('service general', 'positive', 'çalışanların ilgiside')]
1048:0	Tam bir hayal kırıklığı.	[('restaurant general', 'negative', 'NULL')]
1048:1	Combo tabağı hayalleriyle gittik ve şaka gibi içinde iki üç parça olan çok lezzetsiz bir tabak geldi.	[('food quality', 'negative', 'tabak')]
1048:2	Hamburgerleri vasat.	[('food quality', 'neutral', 'Hamburgerleri')]
1048:3	Çok çok kötü	[('restaurant general', 'negative', 'NULL')]
1049:0	Sütiştir dedik kahvaltı yapalım dedik pişman olduk valla.	[('restaurant general', 'negative', 'kahvaltı')]
1049:1	Porsiyonları çok küçük fiyatlar çok Pahalı.	[('food style_options', 'negative', 'Porsiyonları'), ('ambience general', 'negative', 'fiyatlar')]
1049:2	Garsonlar ilgisiz çayları kötü.	[('service general', 'negative', 'Garsonlar'), ('drinks quality', 'negative', 'çayları')]
1049:3	Arada bir belki tatlı yemeye gidilebilir.	[('food quality', 'positive', 'tatlı')]
1049:4	O da manzarası için.	[('ambience general', 'positive', 'manzarası')]
1050:0	Egzotik çayları seviyorsanız mutlaka uğramanız gereken bir mekan.	[('drinks style_options', 'positive', 'çayları')]
1050:1	Bourbon vanilla ve Irish Malt tavsiye ettiğim çaylar arasında.	[('drinks quality', 'positive', 'Bourbon vanilla'), ('drinks quality', 'positive', 'Irish Malt')]
1050:2	Servis kaliteli, çalışanları ise inanılmaz ilgili.	[('service general', 'positive', 'çalışanları'), ('service general', 'positive', 'Servis')]
1050:3	Sevdiğiniz çayların bazılarını paket olarak satın alabiliyorsunuz da.	[('drinks style_options', 'positive', 'çayların')]
