	text	labels_0	labels_1	labels_2	labels_3	labels_4	labels_5	labels_6	labels_7	labels_8	labels_9	labels_10	labels_11	labels_12	labels_13	labels_14	labels_15
62	Allerdings ist das Restaurant kein Schnäppchen.	('PRICE', 'NEGATIVE', 'Restaurant')															
63	Allerdings ist das Restaurant kein Schnäppchen.	rp															
64	Allerdings sahen die präsentierten frischen Fische an diesem Abend absolut nicht mehr frisch aus, weshalb ich mich nur für eine Fischsuppe entschieden habe.	('FOOD', 'NEGATIVE', 'Fische')															
65	Allerdings sahen die präsentierten frischen Fische an diesem Abend absolut nicht mehr frisch aus, weshalb ich mich nur für eine Fischsuppe entschieden habe.	fq															
66	Allerdings waren die Bedienungen sehr aufmerksam.	('SERVICE', 'POSITIVE', 'Bedienungen')															
67	Allerdings waren die Bedienungen sehr aufmerksam.	sg															
68	Alles in allem eine Unverschämtheit.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
69	Alles in allem eine Unverschämtheit.	rg															
70	Alles perfekt, eindeutig griechisch lecker, ok., der Reihe nach, im Detail:die sehr gute Vorspeise weckt den Appetit auf das Hauptgericht, das sowohl als Fleisch- und als Fischvariante absolut Klasse war, Ambiente angenehme Schlichtheit und das Personal in seiner waschechten, gastfreundlichen, griechischen Art einfach super!!	('FOOD', 'POSITIVE', 'Vorspeise')	('FOOD', 'POSITIVE', 'Fleisch- und als Fischvariante')	('AMBIENCE', 'POSITIVE', 'Ambiente')	('SERVICE', 'POSITIVE', 'Personal')												
71	Alles perfekt, eindeutig griechisch lecker, ok., der Reihe nach, im Detail:die sehr gute Vorspeise weckt den Appetit auf das Hauptgericht, das sowohl als Fleisch- und als Fischvariante absolut Klasse war, Ambiente angenehme Schlichtheit und das Personal in seiner waschechten, gastfreundlichen, griechischen Art einfach super!!	fq	fq	ag	sg												
72	Alles wie immer frisch zu bereitet.	('FOOD', 'POSITIVE', 'NULL')															
73	Alles wie immer frisch zu bereitet.	fq															
74	Als Hauptgericht war haben ein Steinbutt bestellt aber der Fish der serviert wurde hatte vielleicht mal ein Steinbutt von weitem gesehen.	('FOOD', 'NEGATIVE', 'Fish')															
75	Als Hauptgericht war haben ein Steinbutt bestellt aber der Fish der serviert wurde hatte vielleicht mal ein Steinbutt von weitem gesehen.	fs															
76	Als Kommentar kam nur der freche Spruch: das ist ebenso, da die Toilette im Untergeschoss sei.	('SERVICE', 'NEGATIVE', 'NULL')															
77	Als Kommentar kam nur der freche Spruch: das ist ebenso, da die Toilette im Untergeschoss sei.	sg															
78	Als nach einer dreiviertel Stunde endlich das Essen kam, war das sehr enttäuschend.	('FOOD', 'NEGATIVE', 'Essen')															
79	Als nach einer dreiviertel Stunde endlich das Essen kam, war das sehr enttäuschend.	fq															
80	Also versuchten wir zu bezahlen, was auch nicht sehr einfach war, weil ca.	('SERVICE', 'NEGATIVE', 'NULL')															
81	Also versuchten wir zu bezahlen, was auch nicht sehr einfach war, weil ca.	sg															
82	Also wer großen Hunger hat wird wahrscheinlich nicht zufrieden gestellt.	('FOOD', 'NEGATIVE', 'NULL')															
83	Also wer großen Hunger hat wird wahrscheinlich nicht zufrieden gestellt.	fs															
84	Am Eingang ist niemand der einem die Abrechnungskarze übergibt, Warten !	('SERVICE', 'NEGATIVE', 'NULL')															
85	Am Eingang ist niemand der einem die Abrechnungskarze übergibt, Warten !	sg															
86	Am Ende waren wir sehr enttäuscht von dem sehr unfreundlichen Service, weshalb wir kein Trinkgeld gegeben haben, daraufhin bekamen wir zum Abschied nicht Mal ein Tschüss.	('SERVICE', 'NEGATIVE', 'Service')															
87	Am Ende waren wir sehr enttäuscht von dem sehr unfreundlichen Service, weshalb wir kein Trinkgeld gegeben haben, daraufhin bekamen wir zum Abschied nicht Mal ein Tschüss.	sg															
88	Am LOC gelegen, wird hier leckeres Bier und zünftiges Essen serviert.	('FOOD', 'POSITIVE', 'Bier')	('FOOD', 'POSITIVE', 'Essen')														
89	Am LOC gelegen, wird hier leckeres Bier und zünftiges Essen serviert.	dq	fq														
90	Ambiente gut, Wetter gut, Bedienung flink und freundlich.	('AMBIENCE', 'POSITIVE', 'Ambiente')	('AMBIENCE', 'POSITIVE', 'Wetter')	('SERVICE', 'POSITIVE', 'Bedienung')													
91	Ambiente gut, Wetter gut, Bedienung flink und freundlich.	ag	ag	sg													
92	Ambiente und Essen sind sehr stimmig.	('FOOD', 'POSITIVE', 'Essen')	('AMBIENCE', 'POSITIVE', 'Ambiente')														
93	Ambiente und Essen sind sehr stimmig.	fq	ag														
94	An den Getränken gibt es nichts auszusetzen.	('FOOD', 'POSITIVE', 'Getränken')															
95	An den Getränken gibt es nichts auszusetzen.	dq															
96	Anschließend hatte jeder ein Maß bestellt, wo die fast die Hälfte des Bieres aus Schaum bestand, allein das grenzte an Betrug.	('FOOD', 'NEGATIVE', 'Bieres')															
97	Anschließend hatte jeder ein Maß bestellt, wo die fast die Hälfte des Bieres aus Schaum bestand, allein das grenzte an Betrug.	ds															
98	Anschließend war die Bedienung völlig mit jeglicher Weinempfehlung überfordert.	('SERVICE', 'NEGATIVE', 'Bedienung')															
99	Anschließend war die Bedienung völlig mit jeglicher Weinempfehlung überfordert.	sg															
100	Anstatt es einfach auszutauschen wurde mir gesagt, das ich da eben Pech habe.	('SERVICE', 'NEGATIVE', 'NULL')															
101	Anstatt es einfach auszutauschen wurde mir gesagt, das ich da eben Pech habe.	sg															
102	Aschenbecher vom Personal auf den Tisch gestellt, wo alte Zigaretten enthalten waren.	('AMBIENCE', 'NEGATIVE', 'Aschenbecher')	('SERVICE', 'NEGATIVE', 'Personal')														
103	Aschenbecher vom Personal auf den Tisch gestellt, wo alte Zigaretten enthalten waren.	ag	sg														
104	Atmosphäre des Lokals ist gut, Personal reagierte auf den Wunsch, beim Salat eine Zutat wegzulassen allerdings unflexibel und der Inhaber ist mehr als unfreundlich.	('AMBIENCE', 'POSITIVE', 'Atmosphäre')	('SERVICE', 'NEGATIVE', 'Inhaber')	('SERVICE', 'NEGATIVE', 'Personal')													
105	Atmosphäre des Lokals ist gut, Personal reagierte auf den Wunsch, beim Salat eine Zutat wegzulassen allerdings unflexibel und der Inhaber ist mehr als unfreundlich.	ag	sg	sg													
106	Atmosphäre sehr gut.	('AMBIENCE', 'POSITIVE', 'Atmosphäre')															
107	Atmosphäre sehr gut.	ag															
108	Auch Getränke überteuert.	('PRICE', 'NEGATIVE', 'Getränke')															
109	Auch Getränke überteuert.	dp															
110	Auch das Kalbsschnitzel mit warmen Kartoffel-Gurkensalat sehr schön auf einem Holzbrett und einem Töpfchen serviert war sehr lecker.	('FOOD', 'POSITIVE', 'Kalbsschnitzel mit warmen Kartoffel-Gurkensalat')															
111	Auch das Kalbsschnitzel mit warmen Kartoffel-Gurkensalat sehr schön auf einem Holzbrett und einem Töpfchen serviert war sehr lecker.	fq															
112	Auch das Personal ist sehr freundlich, hilfsbereit und zuvorkommend!	('SERVICE', 'POSITIVE', 'Personal')															
113	Auch das Personal ist sehr freundlich, hilfsbereit und zuvorkommend!	sg															
114	Auch der Murrejubbel Knödel und vor allem das LOC mit Apfelreduktion war ein Highlight.	('FOOD', 'POSITIVE', 'Murrejubbel Knödel')	('FOOD', 'POSITIVE', 'LOC mit Apfelreduktion')														
115	Auch der Murrejubbel Knödel und vor allem das LOC mit Apfelreduktion war ein Highlight.	fq	fq														
116	Auch der Service war aufmerksam, freundlich und kompetent	('SERVICE', 'POSITIVE', 'Service')															
117	Auch der Service war aufmerksam, freundlich und kompetent	sg															
118	Auch der bestellte Wein kam erst nach dem Essen.	('SERVICE', 'NEGATIVE', 'Wein')															
119	Auch der bestellte Wein kam erst nach dem Essen.	sg															
120	Auch die Ansprache Süßmaus bei der nächsten Gelegenheit war eher unpassend.	('SERVICE', 'NEGATIVE', 'NULL')															
121	Auch die Ansprache Süßmaus bei der nächsten Gelegenheit war eher unpassend.	sg															
122	Auch die Gaststube verströmt ein gewachsenes authentisches Ambiente, wie es in LOC nur noch selten zu finden ist.	('AMBIENCE', 'POSITIVE', 'Ambiente')															
123	Auch die Gaststube verströmt ein gewachsenes authentisches Ambiente, wie es in LOC nur noch selten zu finden ist.	ag															
124	Auch die Lage ist wie in „ bella Italia“.	('AMBIENCE', 'POSITIVE', 'Lage')															
125	Auch die Lage ist wie in „ bella Italia“.	ag															
126	Auch die Schnitzel kamen innerhalb einer 5-Minuten Frist und waren Massenware.	('FOOD', 'NEGATIVE', 'Schnitzel')															
127	Auch die Schnitzel kamen innerhalb einer 5-Minuten Frist und waren Massenware.	fq															
128	Auch die Wein Empfehlung war super.	('FOOD', 'POSITIVE', 'Wein Empfehlung')															
129	Auch die Wein Empfehlung war super.	dq															
130	Auch wenn das Ambiente nicht so ansprechend war, hat uns doch das Konzept und die Frische der Speisen überzeugt.	('AMBIENCE', 'NEGATIVE', 'Ambiente')	('FOOD', 'POSITIVE', 'Speisen')														
131	Auch wenn das Ambiente nicht so ansprechend war, hat uns doch das Konzept und die Frische der Speisen überzeugt.	ag	fq														
132	Auch wirklich gut und habe ich auch noch nie gegessen.	('FOOD', 'POSITIVE', 'NULL')															
133	Auch wirklich gut und habe ich auch noch nie gegessen.	fq															
134	Auf diesen recht lieblos angerichteten - und gerade so : essbaren Burger mussten wir über eine Stunde (!!!)	('SERVICE', 'NEGATIVE', 'NULL')	('FOOD', 'NEGATIVE', 'Burger')														
135	Auf diesen recht lieblos angerichteten - und gerade so : essbaren Burger mussten wir über eine Stunde (!!!)	sg	fs														
136	Auf ein zwei schöne Biere kommen wir sicher wieder, essen werden wir vermutlich nicht mehr.	('FOOD', 'POSITIVE', 'Biere')	('FOOD', 'NEGATIVE', 'essen')														
137	Auf ein zwei schöne Biere kommen wir sicher wieder, essen werden wir vermutlich nicht mehr.	dq	fq														
138	Auf meine Beschwerde hin wurde mir gesagt, dass das bayrische Bier eben viel Schaum habe.	('SERVICE', 'NEGATIVE', 'NULL')															
139	Auf meine Beschwerde hin wurde mir gesagt, dass das bayrische Bier eben viel Schaum habe.	sg															
140	Auf übermäßig Freundlichkeit des Service verzichtet man.	('SERVICE', 'NEGATIVE', 'Service')															
141	Auf übermäßig Freundlichkeit des Service verzichtet man.	sg															
142	Authentisches griechisches Essen für einen super Preis.	('FOOD', 'POSITIVE', 'Essen')	('PRICE', 'POSITIVE', 'Essen')														
143	Authentisches griechisches Essen für einen super Preis.	fq	fp														
144	Außerordentlich freundliches und aufmerksames Personal.	('SERVICE', 'POSITIVE', 'Personal')															
145	Außerordentlich freundliches und aufmerksames Personal.	sg															
146	Bahnhofs-Atmosphäre.. 19:35 kam die Vorspeise, wir mussten nach Besteck fragen… 19:45 kam die Hauptspeise, obwohl wir noch mit der Vorspeise beschäftigt waren.	('AMBIENCE', 'NEGATIVE', 'Bahnhofs-Atmosphäre')	('SERVICE', 'NEGATIVE', 'NULL')														
147	Bahnhofs-Atmosphäre.. 19:35 kam die Vorspeise, wir mussten nach Besteck fragen… 19:45 kam die Hauptspeise, obwohl wir noch mit der Vorspeise beschäftigt waren.	ag	sg														
148	Bald wieder!	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
149	Bald wieder!	rg															
150	Bedienung leider nicht aufmerksam.	('SERVICE', 'NEGATIVE', 'Bedienung')															
151	Bedienung leider nicht aufmerksam.	sg															
152	Bedienung sehr freundlich, top!	('SERVICE', 'POSITIVE', 'Bedienung')															
153	Bedienung sehr freundlich, top!	sg															
154	Bedienung war zuvorkommend und schnell.	('SERVICE', 'POSITIVE', 'Bedienung')															
155	Bedienung war zuvorkommend und schnell.	sg															
156	Bedienungen sprechen teilweise nur gebrochen deutsch, ich wurde trotz vieler freier Tische abgewiesen mit der Begründung „nicht genügend Personal“ …..	('SERVICE', 'NEGATIVE', 'Bedienungen')															
157	Bedienungen sprechen teilweise nur gebrochen deutsch, ich wurde trotz vieler freier Tische abgewiesen mit der Begründung „nicht genügend Personal“ …..	sg															
158	Bei einer sehr freundlichen Kellnerin zwei Kölsch bestellt.	('SERVICE', 'POSITIVE', 'Kellnerin')															
159	Bei einer sehr freundlichen Kellnerin zwei Kölsch bestellt.	sg															
160	Bei mir war es nicht viel besser.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
161	Bei mir war es nicht viel besser.	rg															
162	Beides sehr gut.	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
163	Beides sehr gut.	rg															
164	Beides wurde einzeln gebracht mit einer Verzögerung von 10min.	('SERVICE', 'NEGATIVE', 'Verzögerung')															
165	Beides wurde einzeln gebracht mit einer Verzögerung von 10min.	sg															
166	Beim Bezahlen gaben wir dem Kellner dann Trinkgeld, was scheinbar nicht ausreichend war, weil er uns mit den Worten „ach heute ist nicht mehr drin?“ verabschiedete.	('SERVICE', 'NEGATIVE', 'Kellner')															
167	Beim Bezahlen gaben wir dem Kellner dann Trinkgeld, was scheinbar nicht ausreichend war, weil er uns mit den Worten „ach heute ist nicht mehr drin?“ verabschiedete.	sg															
168	Beim Cheeseburger war nur eine Spur Cheese aufgelegt.	('FOOD', 'NEGATIVE', 'Cheeseburger')															
169	Beim Cheeseburger war nur eine Spur Cheese aufgelegt.	fq															
170	Beim Schweinebraten hat die Würze gefehlt, der dazugehörige Salat war fantastisch, die Kruste auch, der Kartoffelknödel war essbar, der Semmelknödel weniger.	('FOOD', 'NEGATIVE', 'Schweinebraten')	('FOOD', 'POSITIVE', 'Salat')	('FOOD', 'POSITIVE', 'Kruste')	('FOOD', 'POSITIVE', 'Kartoffelknödel')	('FOOD', 'NEGATIVE', 'Semmelknödel')											
171	Beim Schweinebraten hat die Würze gefehlt, der dazugehörige Salat war fantastisch, die Kruste auch, der Kartoffelknödel war essbar, der Semmelknödel weniger.	fq	fq	fq	fq	fq											
172	Beim Thai mixed Starter fehlten unkommentiert zwei auf der Speisekarte angekündigte Komponenten.	('FOOD', 'NEGATIVE', 'Thai mixed Starter')															
173	Beim Thai mixed Starter fehlten unkommentiert zwei auf der Speisekarte angekündigte Komponenten.	fq															
174	Beim dritten Versuch war das Fleisch schon wieder kalt.	('FOOD', 'NEGATIVE', 'Fleisch')															
175	Beim dritten Versuch war das Fleisch schon wieder kalt.	fq															
176	Beim zweiten Mal waren wir uns einig - so geht‘s nicht.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
177	Beim zweiten Mal waren wir uns einig - so geht‘s nicht.	rg															
178	Belag teilweise Tiefkühlware.	('FOOD', 'NEGATIVE', 'Belag')															
179	Belag teilweise Tiefkühlware.	fq															
180	Bereits die Online-Reservierung war komplett unkompliziert.	('SERVICE', 'POSITIVE', 'NULL')															
181	Bereits die Online-Reservierung war komplett unkompliziert.	sg															
182	Besonders das Lachsfilet war sehr lecker.	('FOOD', 'POSITIVE', 'Lachsfilet')															
183	Besonders das Lachsfilet war sehr lecker.	fq															
184	Besonders für die liebe Bedienung , den netten Kellner und den aufmerksamen Service von (Luca) waren wir total dankbar 🤗 und das Dessert ( Cassata Siciliana) mmm unglaublich lecker 😋	('SERVICE', 'POSITIVE', 'Bedienung')	('SERVICE', 'POSITIVE', 'Kellner')	('FOOD', 'POSITIVE', 'Dessert')	('SERVICE', 'POSITIVE', 'Luca')												
185	Besonders für die liebe Bedienung , den netten Kellner und den aufmerksamen Service von (Luca) waren wir total dankbar 🤗 und das Dessert ( Cassata Siciliana) mmm unglaublich lecker 😋	sg	sg	fq	sg												
186	Besonders hervorzuheben, war der Kellner Jacques.	('SERVICE', 'POSITIVE', 'Jacques')															
187	Besonders hervorzuheben, war der Kellner Jacques.	sg															
188	Besser nicht!	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
189	Besser nicht!	rg															
190	Bier wird zwischenzeitlich warm.	('FOOD', 'NEGATIVE', 'Bier')															
191	Bier wird zwischenzeitlich warm.	dq															
192	Bifteki nicht gefüllt, aber dafür mit guter Schafskäse Sauce, Lammmediallions zäh und doch eher trocken.	('FOOD', 'NEGATIVE', 'Lammmediallions')	('FOOD', 'NEGATIVE', 'Bifteki')	('FOOD', 'POSITIVE', 'Schafskäse Sauce')													
193	Bifteki nicht gefüllt, aber dafür mit guter Schafskäse Sauce, Lammmediallions zäh und doch eher trocken.	fq	fq	fq													
194	Bin total enttäuscht dieses Restaurant zu so einen besonderen Tag rausgesucht zu haben.	('GENERAL-IMPRESSION', 'NEGATIVE', 'Restaurant')															
195	Bin total enttäuscht dieses Restaurant zu so einen besonderen Tag rausgesucht zu haben.	rg															
196	Bis Pasta fertig ist, ist das Bier endgültig warm.	('SERVICE', 'NEGATIVE', 'NULL')															
197	Bis Pasta fertig ist, ist das Bier endgültig warm.	sg															
198	Bis endlich die Rechnung kam, dauerte es wieder ca.30min.	('SERVICE', 'NEGATIVE', 'Rechnung')															
199	Bis endlich die Rechnung kam, dauerte es wieder ca.30min.	sg															
200	Brandy rundeten diesen einmaligen Abend ab.	('FOOD', 'POSITIVE', 'Brandy')															
201	Brandy rundeten diesen einmaligen Abend ab.	dq															
202	Bratkartoffeln waren etwas arg hell ind die Zwiebeln auf dem Rostbraten etwas arg dunkel… aber ansonsten ein ordentliches Lokal im Herzen von LOC	('FOOD', 'NEGATIVE', 'Bratkartoffeln')	('FOOD', 'NEGATIVE', 'Zwiebeln')	('GENERAL-IMPRESSION', 'POSITIVE', 'Lokal')	('GENERAL-IMPRESSION', 'POSITIVE', 'Herzen von LOC')												
203	Bratkartoffeln waren etwas arg hell ind die Zwiebeln auf dem Rostbraten etwas arg dunkel… aber ansonsten ein ordentliches Lokal im Herzen von LOC	fq	fq	rg	lg												
204	Bravo, wir kommen gerne wieder	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
205	Bravo, wir kommen gerne wieder	rg															
206	Carpaccio ein Traum 😍 Leider war bei einem Steak der Gargrad falsch, darf eigentlich nicht passieren in so einem Haus.	('FOOD', 'POSITIVE', 'Carpaccio')	('FOOD', 'NEGATIVE', 'Steak')														
207	Carpaccio ein Traum 😍 Leider war bei einem Steak der Gargrad falsch, darf eigentlich nicht passieren in so einem Haus.	fq	fq														
208	Da gibt es in LOC diverse Restaurants, wo es besser schmeckt und sich als Gast auch wohlfühlen kann.	('AMBIENCE', 'NEGATIVE', 'NULL')	('FOOD', 'NEGATIVE', 'NULL')														
209	Da gibt es in LOC diverse Restaurants, wo es besser schmeckt und sich als Gast auch wohlfühlen kann.	ag	fq														
210	Da gibt es überhaupt nichts zu meckern.	('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')															
211	Da gibt es überhaupt nichts zu meckern.	rg															
212	Da kann auch der Service für unsere 50-köpfige Truppe noch so verbesserungswürdig sein ...	('SERVICE', 'NEGATIVE', 'Service')															
213	Da kann auch der Service für unsere 50-köpfige Truppe noch so verbesserungswürdig sein ...	sg															
214	Da passt das unverschämte Servicepersonal ideal dazu.	('SERVICE', 'NEGATIVE', 'Servicepersonal')															
215	Da passt das unverschämte Servicepersonal ideal dazu.	sg															
216	Da war dann immer noch ordentlich Salz drin, aber es war essbar.	('FOOD', 'NEUTRAL', 'NULL')															
217	Da war dann immer noch ordentlich Salz drin, aber es war essbar.	fq															
218	Dafür ist die Auswahl an Getränken sehr ordentlich.	('FOOD', 'POSITIVE', 'Auswahl an Getränken')															
219	Dafür ist die Auswahl an Getränken sehr ordentlich.	ds															
220	Danach ging allerdings alles im Schneckentempo.	('SERVICE', 'NEGATIVE', 'NULL')															
221	Danach ging allerdings alles im Schneckentempo.	sg															
222	Dank Lena haben wir den ersten Abend in LOC sehr genossen!	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')	('SERVICE', 'POSITIVE', 'Lena')														
223	Dank Lena haben wir den ersten Abend in LOC sehr genossen!	rg	sg														
224	Danke für die tolle Zeit bei Euch!	('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')															
225	Danke für die tolle Zeit bei Euch!	rg															
226	Dann LOC Knipp - Knipp, Gurken und Apfelmus fein, kann man nicht viel falsch machen.	('FOOD', 'POSITIVE', 'Gurken')	('FOOD', 'POSITIVE', 'Apfelmus')														
227	Dann LOC Knipp - Knipp, Gurken und Apfelmus fein, kann man nicht viel falsch machen.	fq	fq														
228	Dann war leider auch noch mein Schwertfisch nicht essbar, weil noch roh ( damit meine ich nicht glasig, sondern wirklich noch komplett roh auf einer Seite) und musste reklamiert werden.	('FOOD', 'NEGATIVE', 'Schwertfisch')															
229	Dann war leider auch noch mein Schwertfisch nicht essbar, weil noch roh ( damit meine ich nicht glasig, sondern wirklich noch komplett roh auf einer Seite) und musste reklamiert werden.	fq															
230	Darauf angesprochen meint der „Oberkellner“ nur: „Ich habe alles bestellt, ich bin aus dem Schneider.	('SERVICE', 'NEGATIVE', 'Oberkellner')															
